mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;player
40:00:00;5;16;.313;0;0;;6;7;.857;1;5;6;7;2;4;5;16;0
34:00:00;8;13;.615;0;0;;5;5;1.000;3;2;5;5;2;1;3;21;0
34:00:00;13;24;.542;0;0;;11;13;.846;2;2;4;5;6;2;3;37;0
36:00:00;8;21;.381;0;0;;9;9;1.000;2;2;4;5;3;1;6;25;0
33:00:00;7;15;.467;0;0;;3;4;.750;3;2;5;5;1;1;2;17;0
27:00:00;9;19;.474;0;0;;7;9;.778;1;3;4;3;3;1;5;25;0
33:00:00;15;22;.682;0;0;;3;4;.750;4;4;8;5;3;2;5;33;0
42:00:00;9;22;.409;0;0;;9;12;.750;2;7;9;4;2;5;3;27;0
43:00:00;18;27;.667;1;1;1.000;8;11;.727;2;8;10;4;3;2;4;45;0
33:00:00;12;24;.500;0;1;.000;3;3;1.000;0;2;2;2;2;1;1;27;0
44:00:00;4;17;.235;0;0;;8;8;1.000;0;5;5;7;5;2;4;16;0
39:00:00;11;26;.423;0;3;.000;12;16;.750;2;3;5;2;2;1;3;34;0
42:00:00;11;22;.500;0;0;;13;14;.929;4;9;13;2;2;2;6;35;0
30:00:00;9;13;.692;0;0;;5;6;.833;0;4;4;3;4;1;4;23;0
41:00:00;10;24;.417;0;1;.000;10;10;1.000;3;3;6;8;3;1;4;30;0
24:00:00;6;10;.600;0;0;;1;1;1.000;0;2;2;3;3;2;4;13;0
30:00:00;9;17;.529;1;1;1.000;3;4;.750;1;2;3;2;2;0;2;22;0
37:00:00;9;15;.600;0;0;;2;4;.500;2;3;5;5;3;0;4;20;0
42:00:00;7;13;.538;0;0;;6;8;.750;2;0;2;3;1;1;4;20;0
35:00:00;7;13;.538;0;0;;6;6;1.000;1;2;3;6;1;0;3;20;0
43:00:00;8;16;.500;0;1;.000;5;7;.714;1;1;2;3;2;0;6;21;0
35:00:00;10;23;.435;0;0;;0;0;;4;3;7;2;0;2;2;20;0
