mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;player
43:00:00;18;36;.500;0;0;;13;15;.867;0;4;4;2;2;1;5;49;0
53:00:00;22;41;.537;0;0;;19;21;.905;1;4;5;6;3;2;4;63;0
39:00:00;8;18;.444;1;1;1;2;3;.667;4;6;10;9;2;1;5;19;0
44:00:00;12;25;.480;0;1;.000;11;11;1;0;6;6;7;4;2;2;35;0
45:00:00;14;29;.483;2;3;.667;12;14;.857;1;3;4;4;0;4;4;42;0
39:00:00;9;30;.300;0;1;.000;12;14;.857;6;5;11;7;2;1;2;30;0
44:00:00;19;35;.543;0;0;;12;12;1;1;6;7;2;2;2;5;50;0
44:00:00;24;45;.533;0;0;;7;7;1;3;3;6;3;4;1;1;55;0
44:00:00;12;25;.480;0;0;;14;15;.933;2;3;5;9;2;1;4;38;0
42:00:00;18;25;.720;0;0;;8;9;.889;2;3;5;4;4;2;4;44;0
43:00:00;12;22;.545;0;0;;15;18;.833;1;3;4;6;2;2;7;39;0
40:00:00;10;22;.455;0;1;.000;9;10;.900;5;6;11;6;0;1;5;29;0
44:00:00;14;22;.636;0;0;;8;10;.800;4;7;11;1;1;1;2;36;0
38:00:00;8;20;.400;0;0;;8;9;.889;1;6;7;3;1;1;5;24;0
45:00:00;11;22;.500;0;0;;1;2;.500;2;5;7;5;6;0;3;23;0
43:00:00;10;22;.455;1;2;.500;4;7;.571;2;6;8;8;2;0;3;25;0
40:00:00;12;21;.571;0;1;.000;7;8;.875;0;5;5;11;4;1;6;31;0
44:00:00;10;22;.455;0;1;.000;10;10;1;3;2;5;10;2;0;7;30;0
39:00:00;18;34;.529;1;1;1;7;9;.778;2;5;7;10;5;1;5;44;0
43:00:00;14;28;.500;0;1;.000;22;27;.815;0;3;3;4;3;0;1;50;0
44:00:00;17;32;.531;1;1;1;9;13;.692;3;6;9;6;1;0;2;44;0
46:00:00;11;17;.647;1;2;.500;11;11;1;2;8;10;12;2;0;6;34;0
34:00:00;7;17;.412;0;2;.000;1;4;.250;2;6;8;3;1;0;1;15;0
39:00:00;14;25;.560;1;2;.500;11;13;.846;2;13;15;9;6;1;3;40;0
42:00:00;12;18;.667;0;1;.000;23;28;.821;0;11;11;6;1;2;6;47;0
43:00:00;13;30;.433;1;3;.333;11;15;.733;5;3;8;10;5;1;3;38;0
45:00:00;14;22;.636;1;3;.333;11;12;.917;1;4;5;10;0;4;6;40;0
45:00:00;10;29;.345;2;6;.333;10;13;.769;2;9;11;4;0;0;3;32;0
38:00:00;9;20;.450;0;2;.000;9;11;.818;1;3;4;4;2;1;4;27;0
45:00:00;16;26;.615;0;3;.000;14;15;.933;3;4;7;5;5;0;2;46;0
43:00:00;5;15;.333;1;3;.333;12;17;.706;0;2;2;4;1;0;1;23;0
46:00:00;4;8;.500;0;1;.000;10;11;.909;0;5;5;9;1;0;4;18;0
42:00:00;13;26;.500;1;2;.500;5;12;.417;0;4;4;13;3;2;8;32;0
44:00:00;15;27;.556;0;1;.000;8;11;.727;1;7;8;7;2;1;7;38;0
44:00:00;12;21;.571;0;0;;12;14;.857;1;8;9;11;5;1;5;36;0
46:00:00;20;35;.571;1;5;.200;7;9;.778;2;7;9;5;1;2;5;48;0
32:00:00;8;19;.421;0;0;;9;13;.692;1;5;6;5;2;0;1;25;0
43:00:00;16;30;.533;2;4;.500;5;6;.833;1;4;5;6;5;2;4;39;0
43:00:00;18;36;.500;1;3;.333;8;8;1;4;4;8;7;3;0;2;45;0
42:00:00;19;34;.559;4;11;.364;7;9;.778;2;3;5;5;4;1;5;49;0
42:00:00;16;31;.516;1;2;.500;12;13;.923;1;5;6;11;2;2;3;45;0
42:00:00;17;26;.654;1;3;.333;2;4;.500;2;7;9;8;6;1;4;37;0
42:00:00;12;27;.444;2;6;.333;8;8;1;1;6;7;5;3;0;1;34;0
45:00:00;5;16;.313;0;2;.000;10;12;.833;1;6;7;7;4;1;3;20;0
43:00:00;17;32;.531;2;2;1;11;13;.846;3;7;10;4;1;0;4;47;0
43:00:00;13;26;.500;0;1;.000;16;19;.842;0;4;4;9;4;3;4;42;0
39:00:00;7;19;.368;1;4;.250;7;9;.778;1;3;4;8;1;0;1;22;0
39:00:00;11;20;.550;1;4;.250;6;6;1;1;9;10;2;1;0;3;29;0
45:00:00;13;27;.481;0;2;.000;5;5;1;2;6;8;9;1;0;4;31;0
32:00:00;8;15;.533;3;4;.750;9;9;1;1;5;6;6;2;0;1;28;0
42:00:00;9;16;.563;0;0;;8;9;.889;1;4;5;5;0;1;2;26;0
39:00:00;14;28;.500;0;2;.000;5;5;1;1;2;3;7;6;1;1;33;0
31:00:00;8;15;.533;0;1;.000;13;15;.867;0;5;5;5;3;1;1;29;0
40:00:00;12;26;.462;0;5;.000;5;7;.714;1;7;8;9;1;1;1;29;0
42:00:00;20;34;.588;0;0;;6;9;.667;0;4;4;6;1;4;2;46;0
41:00:00;11;27;.407;2;3;.667;1;2;.500;0;4;4;12;4;0;1;25;0
